assessid,stockid,stockid_ra,mgmt,assessor,country,region,area,area_code,stocklong,species,comm_name1,comm_name2,shp_source,shp_path,zone_col,zones,notes,Id
AFSC-DSOLEGA-1978-2009-STACHURA,DSOLEGA,NA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Dover sole Gulf of Alaska,Microstomus pacificus,Dover sole,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#SOLE_DOVER,"All life stages, clipped to MEOW GOA",NA
AFSC-DUSROCKGA-1973-2010-STACHURA,DUSROCKGA,NA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Dusky rockfish Gulf of Alaska,Sebastes variabilis,Dusky rockfish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#ROCKFISH_LD,"All life stages, clipped to MEOW GOA",NA
AFSC-FLSOLEBSAI-1974-2010-STACHURA,FLSOLEBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Flathead sole Bering Sea and Aleutian Islands,Hippoglossoides elassodon,Flathead sole,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#SOLE_FH,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-FLSOLEGA-1978-2010-STACHURA,FLSOLEGA,NA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Flathead sole Gulf of Alaska,Hippoglossoides elassodon,Flathead sole,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#SOLE_FH,"All life stages, clipped to MEOW GOA",NA
AFSC-GHALBSAI-1960-2015-HIVELY,GHALBSAI,GHALEBS,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Greenland turbot Bering Sea and Aleutian Islands,Reinhardtius hippoglossoides,Greenland halibut,Greenland turbot,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#TURBOT_GL,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-NROCKBSAI-1974-2011-STACHURA,NROCKBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Northern rockfish Bering Sea and Aleutian Islands,Sebastes polyspinis,Northern rockfish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#ROCKFISH_N,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-NROCKGA-1959-2010-STACHURA,NROCKGA,NA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Northern rockfish Gulf of Alaska,Sebastes polyspinis,Northern rockfish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#ROCKFISH_N,"All life stages, clipped to MEOW GOA",NA
AFSC-NRSOLEEBSAI-1975-2012-HIVELY,NRSOLEEBSAI,NA,NMFS,AFSC,USA,US Alaska,Eastern Bering Sea and Aleutian Islands,EBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,Lepidopsetta polyxystra,Northern rock sole,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#SOLE_RK,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-PCODBSAI-1964-2013-CHING,PCODBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Pacific cod Bering Sea and Aleutian Islands,Gadus macrocephalus,Pacific cod,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#COD_PAC,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-PCODGA-1977-2014-HIVELY,PCODGA,PCODGA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Pacific cod Gulf of Alaska,Gadus macrocephalus,Pacific cod,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#COD_PAC,"All life stages, clipped to MEOW GOA",NA
AFSC-PERCHEBSAI-1960-2011-STACHURA,PERCHEBSAI,PERCHALI,NMFS,AFSC,USA,US Alaska,Eastern Bering Sea and Aleutian Islands,EBSAI,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,Sebastes alutus,Pacific ocean perch,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#PERCH_PAC,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-POPERCHGA-1959-2010-STACHURA,POPERCHGA,PERCHGA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Pacific ocean perch Gulf of Alaska,Sebastes alutus,Pacific ocean perch,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#PERCH_PAC,"All life stages, clipped to MEOW GOA",NA
AFSC-REXSOLEGA-1979-2011-HIVELY,REXSOLEGA,NA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Rex sole Gulf of Alaska,Glyptocephalus zachirus,Rex sole,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#SOLE_REX,"All life stages, clipped to MEOW GOA",NA
AFSC-REYEROCKBSAI-1974-2015-HIVELY,REYEROCKBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Rougheye rockfish Bering Sea and Aleutian Islands,Sebastes aleutianus,Rougheye rockfish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#ROCKFISH_SR,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-REYEROCKGA-1974-2010-STACHURA,REYEROCKGA,NA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Rougheye rockfish Gulf of Alaska,Sebastes aleutianus,Rougheye rockfish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#ROCKFISH_SR,"All life stages, clipped to MEOW GOA",NA
AFSC-RKCRABBB-1960-2008-JENSEN,RKCRABBB,RKCRABBRIS,NMFS,AFSC,USA,US Alaska,Bristol Bay,BB,Red king crab Bristol Bay,Paralithodes camtschaticus,Red king crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_KR,"All life stages, subset to Bristol Bay polygon (big one)",NA
AFSC-RKCRABNS-1976-2008-JENSEN,RKCRABNS,NA,NMFS,AFSC,USA,US Alaska,Norton Sound,NS,Red king crab Norton Sound,Paralithodes camtschaticus,Red king crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_KR,"All life stages, subset to Norton Sound polygon (long east-west sliver, far north)",NA
AFSC-RKCRABPI-1981-2009-JENSEN,RKCRABPI,NA,NMFS,AFSC,USA,US Alaska,Pribilof Islands,PI,Red king crab Pribilof Islands,Paralithodes camtschaticus,Red king crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_KR,"All life stages, subset to Pribolof Island polygon (south-center EBS)",NA
AFSC-SABLEFEBSAIGA-1958-2010-STACHURA,SABLEFEBSAIGA,NA,NMFS,AFSC,USA,US Alaska,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,EBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,Sablefish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#SABLEFISH,"All life stages, clipped to MEOW GOA/EBS/AI",NA
AFSC-SNOWCRABBS-1978-2013-HIVELY,SNOWCRABBS,NA,NMFS,AFSC,USA,US Alaska,Bering Sea,BS,Snow crab Bering Sea,Chionoecetes opilio,Snow crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_S,use whole layer,NA
AFSC-SRAKEROCKBSAI-1977-2010-STACHURA,SRAKEROCKBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Shortraker rockfish Bering Sea and Aleutian Islands,Sebastes borealis,Shortraker rockfish,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#ROCKFISH_SR,"All life stages, clipped to MEOW EBS/AI",NA
AFSC-TANNERCRABBSAI-1949-2013-HIVELY,TANNERCRABBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Tanner crab Bering Sea and Aleutian Islands,Chionoecetes bairdi,Tanner crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_T,use whole layer,NA
AFSC-WPOLLAI-1976-2013-CHING,WPOLLAI,NA,NMFS,AFSC,USA,US Alaska,Aleutian Islands,AI,Walleye pollock Aleutian Islands,Theragra chalcogramma,Walleye pollock,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#POLLOCK_W,"All life stages, clipped to MEOW AI",NA
AFSC-WPOLLEBS-1963-2015-HIVELY,WPOLLEBS,WPOLLEBS,NMFS,AFSC,USA,US Alaska,Eastern Bering Sea,EBS,Walleye pollock Eastern Bering Sea,Theragra chalcogramma,Walleye pollock,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#POLLOCK_W,"All life stages, clipped to MEOW EBS",NA
AFSC-WPOLLGA-1970-2014-HIVELY,WPOLLGA,WPOLLGA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Walleye pollock Gulf of Alaska,Theragra chalcogramma,Walleye pollock,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#POLLOCK_W,"All life stages, clipped to MEOW GOA",NA
AFSC-YSOLEBSAI-1949-2010-STACHURA,YSOLEBSAI,NA,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Yellowfin sole Bering Sea and Aleutian Islands,Limanda aspera,Yellowfin sole,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#SOLE_YF,"All life stages, clipped to MEOW EBS",NA
AFWG-CAPENOR-1965-2007-MINTO,CAPENOR,NA,ICES,AFWG,Europe,Europe non EU,Barents Sea,I,Capelin Barents Sea,Mallotus villosus,Capelin,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib",NA,NA
AFWG-CODNEAR-1946-2011-CHING,CODNEAR,CODNEAR,ICES,AFWG,Europe,Europe non EU,North-East Arctic,I-II,Atlantic cod Northeast Arctic,Gadus morhua,Atlantic cod,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib, IIa1, IIa2, IIb1, IIb2",NA,NA
AFWG-GHALNEAR-1960-2010-NEUBAUER,GHALNEAR,GHALNEAR,ICES,AFWG,Europe,Europe non EU,North-East Arctic,I-II,Greenland halibut Northeast Arctic,Reinhardtius hippoglossoides,Greenland halibut,Greenland turbot,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib, IIa1, IIa2, IIb1, IIb2",NA,NA
AFWG-GOLDREDNEAR-1983-2010-NEUBAUER,GOLDREDNEAR,NA,ICES,AFWG,Europe,Europe non EU,North-East Arctic,I-II,Golden Redfish Northeast Arctic,Sebastes norvegicus,Golden Redfish,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib, IIa1, IIa2, IIb1, IIb2",NA,NA
AFWG-HADNEAR-1947-2012-CHING,HADNEAR,HADNEAR,ICES,AFWG,Europe,Europe non EU,North-East Arctic,I-II,Haddock Northeast Arctic,Melanogrammus aeglefinus,Haddock,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib, IIa1, IIa2, IIb1, IIb2",NA,NA
AFWG-POLLNEAR-1957-2012-CHING,POLLNEAR,POLLNEAR,ICES,AFWG,Europe,Europe non EU,North-East Arctic,I-II,Pollock Northeast Arctic,Pollachius virens,Pollock,Saithe,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib, IIa1, IIa2, IIb1, IIb2",NA,NA
AFWG-REDDEEPI-II-1985-2006-MINTO,REDDEEPI-II,REDI_II,ICES,AFWG,Europe,Europe non EU,North-East Arctic,I-II,Deepwater Redfish Northeast Arctic,Sebastes mentella,Deepwater redfish,Redfish,ICES website,europe/ices/ices_areas.shp,ICES_area,"Ia, Ib, IIa1, IIa2, IIb1, IIb2",NA,NA
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,ATLCROAKMATLC,NA,NMFS,ASMFC,USA,US East Coast,Mid-Atlantic Coast,MATLC,Atlantic croaker Mid-Atlantic Coast,Micropogonias undulatus,Atlantic croaker,NA,US EEZ clipped to SC/NC border to Long Island,usa/eez/eez_lr_usa_east_coast_split.shp,ZONE,US EEZ clipped to SC/NC border to Long Island,US EEZ clipped to SC/NC border to Long Island,NA
ASMFC-LOBSTERGB-1981-2007-STANTON,LOBSTERGB,NA,NMFS,ASMFC,USA,US East Coast,Georges Bank,5Z,American lobster Georges Bank,Homarus americanus,American lobster,NA,NEFSC Statistical Areas,usa/nefsc_stat_areas/Statistical_Areas_2010_withNames.shp,Id,"521, 522, 525, 526, 561, 562","No EFH available; based on stat areas (Figure 1.1, pg. 185 recent assessment)",NA
ASMFC-LOBSTERGOM-1981-2007-STANTON,LOBSTERGOM,NA,NMFS,ASMFC,USA,US East Coast,Gulf of Maine,5Y,American lobster Gulf of Maine,Homarus americanus,American lobster,NA,NEFSC Statistical Areas,usa/nefsc_stat_areas/Statistical_Areas_2010_withNames.shp,Id,"511, 512, 513, 514, 515","No EFH available; based on stat areas (Figure 1.1, pg. 185 recent assessment)",NA
ASMFC-LOBSTERSNE-1981-2007-STANTON,LOBSTERSNE,NA,NMFS,ASMFC,USA,US East Coast,Southern New England,SNE,American lobster Southern New England,Homarus americanus,American lobster,NA,NEFSC Statistical Areas,usa/nefsc_stat_areas/Statistical_Areas_2010_withNames.shp,Id,"537, 538, 539, 611, 612, 613, 614, 615, 621, 622, 623, 625, 626","No EFH available; based on stat areas (Figure 1.1, pg. 185 recent assessment)",NA
ASMFC-PANDALGOM-1960-2009-IDOINE,PANDALGOM,NA,NMFS,ASMFC,USA,US East Coast,Gulf of Maine,5Y,Northern shrimp Gulf of Maine,Pandalus borealis,Northern shrimp,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,5Y,5Y,NA
CBP-BCRABCHESB-1990-2010-HIVELY,BCRABCHESB,NA,MDSTATE,CBP,USA,US East Coast,Cheapeake Bay,CHESB,Blue Crab Chesapeake Bay,Callinectes sapidus,Blue Crab,NA,US EEZ clipped to Chesapeake,usa/eez/eez.shp,ZONE,US EEZ clipped to Chesapeake,US EEZ clipped to Chesapeake,NA
CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,ATOOTHFISHRS,NA,CCAMLR,CCAMLR,Antarctica,Antarctic,Ross Sea,RS,Antarctic toothfish Ross Sea,Dissostichus mawsoni,Antarctic toothfish,NA,FAO website,multinational/fao/FAO_AREAS.shp,F_SUBAREA,"88.1, 88.2",Ross Sea,NA
CCSBT-SC-SBT-1952-2014-PONS,SBT,SBTUNA2,CCSBT,CCSBT-SC,Tuna-RFMO,Indian Ocean,Southern Oceans,SO,Southern bluefin tuna Southern Oceans,Thunnus maccoyii,Southern bluefin tuna,NA,RFMO/RFB shapfile database,tuna/CCSBT_dissolve_erase.shp,NA,already dissolved,Full CCSBT area of competence,NA
CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI,SARDMEDGSA16,NA,GFCM,CNR-IAMC,Europe,Mediterranean-Black Sea,South of Sicily,GSA16,Sardine South of Sicily,Sardina pilchardus,European pilchard,Spanish sardine,FAO website,europe/gfcm/GSAs_simplified,SECT_COD,GSA16,NA,NA
CSERG-ANCHOVYKILKACS-1991-2007-JENSEN,ANCHOVYKILKACS,NA,Iran,CSERG,Iran,Other,Iranian Caspian Sea,CS,Anchovy kilka Caspian Sea,Clupeonella engrauliformis,Anchovy kilka,Anchovy sprat,Caspian Sea shapefile from GLWD,iran/caspian_sea_iran.shp,ZONE,already dissolved,Clipped GLWD Caspian Sea to Iranian waters,NA
CSIRO-BIGHTREDSE-1958-2007-FULTON,BIGHTREDSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,Bight redfish Southeast Australia,Centroberyx gerrardi,Bight redfish,NA,Atlas of Living Australia,australia/ala/centroberyx_gerrardi_dissolve,NA,used all of southern Australia,Entire distribution - even though primarily caught in GAB,NA
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,BTSHRIMPNAUST,NA,AFMA,CSIRO,Australia,Australia,Northern Australia,NAUST,Northern Australia brown tiger shrimp,Penaeus esculentus,Brown tiger shrimp,Brown tiger prawn,Digitized catch from AFMA image,australia/ala/prawn_catch_distribution_erase_dissolve.shp,NA,Digitized catch from AFMA image,NA,NA
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,DEEPFLATHEADSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,Deepwater flathead Southeast Australia,Platycephalus conatus,Deepwater flathead,NA,Atlas of Living Australia,australia/ala/platycephalus_conatus_dissolve.shp,NA,used all of southeast Australia,NA,NA
CSIRO-GEMFISHSE-1966-2007-FULTON,GEMFISHSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,common gemfish Southeast Australia,Rexea solandri,common gemfish,hake,Atlas of Living Australia,australia/ala/rexea_solandri_dissolve.shp,NA,Gemfish distribution clipped to Australian EEZ,NA,NA
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,GTPRAWNNAUST,NA,AFMA,CSIRO,Australia,Australia,Northern Australia,NAUST,Northern Australia grooved Tiger Prawn,Penaeus semisulcatus,NA,NA,Digitized catch from AFMA image,australia/ala/prawn_catch_distribution_erase_dissolve.shp,NA,Digitized catch from AFMA image,NA,NA
CSIRO-MORWONGSE-1913-2007-FULTON,MORWONGSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,Jackass morwong Southeast Australia,Nemadactylus macropterus,Hawaiian morwong,Jackass morwong,Atlas of Living Australia,australia/ala/nemadactylus_macropterus_dissolve.shp,NA,used all of southern Australia,NA,NA
CSIRO-NZLINGESE-1968-2007-FULTON,NZLINGESE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,New Zealand ling Eastern half of Southeast Australia,Genypterus blacodes,New Zealand ling,NA,Atlas of Living Australia,australia/ala/genypterus_blacodes_dissolve.shp,NA,split in Bass Strait,NA,NA
CSIRO-NZLINGWSE-1968-2007-FULTON,NZLINGWSE,NA,AFMA,CSIRO,Australia,Australia,Western half of Southeast Australia,WSE,New Zealand ling Western half of Southeast Australia,Genypterus blacodes,New Zealand ling,NA,Atlas of Living Australia,australia/ala/genypterus_blacodes_dissolve.shp,NA,split in Bass Strait,NA,NA
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,OROUGHYCASCADE,NA,AFMA,CSIRO,Australia,Australia,Cascade Plateau,CASCADE,Orange roughy Cascade Plateau,Hoplostethus atlanticus,Orange roughy,NA,Atlas of Living Australia,australia/ala/Hoplostethus_atlanticus.shp,NA,grabbed only the tiny Cascade Plateau part,NA,NA
CSIRO-OROUGHYSE-1978-2007-FULTON,OROUGHYSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,Orange roughy Southeast Australia,Hoplostethus atlanticus,Orange roughy,NA,Atlas of Living Australia,australia/ala/Hoplostethus_atlanticus.shp,NA,Grabbed all but the offshore parts,NA,NA
CSIRO-PTOOTHFISHMI-1975-2010-FAY,PTOOTHFISHMI,NA,AFMA,CSIRO,Australia,Australia,Macquarie Island,MI,Patagonian toothfish Macquarie Island,Dissostichus eleginoides,Patagonian toothfish,NA,Macquarie Island EEZ,eez_lr.shp,NA,Macquarie Island EEZ,NA,NA
CSIRO-SILVERFISHSE-1978-2006-FULTON,SILVERFISHSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,Silverfish Southeast Australia,Seriolella punctata,Silverfish,NA,Atlas of Living Australia,australia/ala/seriolella_punctata_dissolve.shp,NA,used all of southeast Australia,NA,NA
CSIRO-SWHITSE-1945-2007-FULTON,SWHITSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,School whiting Southeast Australia,Sillago flindersi,School whiting,NA,Atlas of Living Australia,australia/ala/sillago_flindersi_dissolve.shp,NA,used all of southeast Australia,NA,NA
CSIRO-TIGERFLATSE-1913-2006-FULTON,TIGERFLATSE,NA,AFMA,CSIRO,Australia,Australia,Southeast Australia,SE,Tiger flathead Southeast Australia,Neoplatycephalus richardsoni,Tiger flathead,NA,Atlas of Living Australia,australia/ala/platycephalus_richardsoni_dissolve.shp,NA,used all of southeast Australia,NA,NA
CSIRO-WAREHOUESE-1984-2006-FULTON,WAREHOUESE,NA,AFMA,CSIRO,Australia,Australia,Eastern half of Southeast Australia,ESE,Blue Warehou Eastern half of Southeast Australia,Seriolella brama,whario,Blue Warehou,Atlas of Living Australia,australia/ala/seriolella_brama_dissolve.shp,NA,split in Bass Strait,East Bass Strait,NA
CSIRO-WAREHOUWSE-1984-2006-FULTON,WAREHOUWSE,NA,AFMA,CSIRO,Australia,Australia,Western half of Southeast Australia,WSE,Blue Warehou Western half of Southeast Australia,Seriolella brama,whario,Blue Warehou,Atlas of Living Australia,australia/ala/seriolella_brama_dissolve.shp,NA,split in Bass Strait,West Bass Strait,NA
DFO-ACADRED2J3K-1960-2010-WATSON,ACADRED2J3K,NA,DFO,DFO,Canada,Canada East Coast,NAFO Division 2J3K,2J3K,Acadian redfish NAFO-2J3K,Sebastes fasciatus,Acadian redfish,Redfish,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"2J, 3K",NA,NA
DFO-ACADRED3LNO-UT12-1960-2010-WATSON,ACADRED3LNO-UT12,NA,DFO,DFO,Canada,Canada East Coast,NAFO Division 3LNO and Units 1 and 2,3LNO-UT12,Acadian redfish Units 1-2 and NAFO-3LNO,Sebastes fasciatus,Acadian redfish,Redfish,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,3M,NA,NA
DFO-ACADREDUT3-1960-2010-WATSON,ACADREDUT3,NA,DFO,DFO,Canada,Canada East Coast,Unit 3,UT3,Acadian redfish Unit 3,Sebastes fasciatus,Acadian redfish,Redfish,Scott Coffen-Smout (DFO),canada/east_coast_dfo/dfo_east_redfish_units.shp,UNIT,Unit 3,NA,NA
DFO-AMPL23K-1960-2012-WATSON,AMPL23K,NA,DFO,DFO,Canada,Canada East Coast,Labrador - NE Newfoundland,23K,American Plaice NAFO-23K,Hippoglossoides platessoides,American plaice,NA,NAFO GIS website,canada/nafo/Divisions.shp,ZONE,"2G, 2H, 2J, 3K",NA,NA
